ts_code,trade_date,high,low,close
000985.CSI,20220920,4870.4595,4826.7762,4842.2461
000985.CSI,20220919,4853.6614,4784.8447,4808.7903
000985.CSI,20220916,4940.4833,4836.3739,4836.3739
000985.CSI,20220915,5067.4362,4907.5091,4951.8715
000985.CSI,20220914,5066.4966,5015.4126,5044.053
000985.CSI,20220913,5114.8161,5083.59,5097.0772
000985.CSI,20220909,5091.7646,5043.4838,5087.4696
000985.CSI,20220908,5088.0862,5045.3894,5048.6759
000985.CSI,20220907,5094.7883,5040.6032,5080.8825
000985.CSI,20220906,5066.941,4996.9673,5066.941
000985.CSI,20220905,5004.0512,4963.1431,4999.1782
000985.CSI,20220902,5011.3465,4972.0777,4994.8094
000985.CSI,20220901,5043.9327,4976.9656,4983.7003
000985.CSI,20220831,5082.529,4993.4322,5017.1504
000985.CSI,20220830,5116.3183,5064.0321,5089.0978
000985.CSI,20220829,5112.7219,5039.1734,5112.7218
000985.CSI,20220826,5168.2568,5101.8252,5109.4449
000985.CSI,20220825,5133.7429,5056.4774,5127.5687
000985.CSI,20220824,5254.5793,5105.113,5110.5257
000985.CSI,20220823,5255.9018,5225.2935,5245.8468
000985.CSI,20220822,5250.7409,5184.0418,5250.7409
000985.CSI,20220819,5275.3734,5209.7247,5209.7247
000985.CSI,20220818,5274.5622,5251.3626,5265.7188
000985.CSI,20220817,5290.7831,5229.2025,5284.5573
000985.CSI,20220816,5278.8847,5240.0643,5254.1061
000985.CSI,20220815,5256.7577,5211.5055,5241.7281
000985.CSI,20220812,5256.1349,5227.6639,5228.8923
000985.CSI,20220811,5245.2622,5169.1294,5245.2622
000985.CSI,20220810,5193.8212,5136.075,5158.4046
000985.CSI,20220809,5185.3812,5148.3961,5184.3849
000985.CSI,20220808,5169.5843,5121.9913,5169.2384
000985.CSI,20220805,5145.2834,5068.8197,5142.2675
000985.CSI,20220804,5076.6684,5007.7786,5069.6734
000985.CSI,20220803,5134.5204,5013.9891,5026.7483
000985.CSI,20220802,5152.0591,5019.719,5069.1207
000985.CSI,20220801,5209.7735,5133.0798,5206.4996
000985.CSI,20220729,5241.9918,5165.5094,5174.9752
000985.CSI,20220728,5264.276,5215.6212,5224.3789
000985.CSI,20220727,5218.0514,5180.0465,5209.3502
000985.CSI,20220726,5209.5042,5135.9927,5201.6105
000985.CSI,20220725,5202.1704,5138.792,5151.8733
000985.CSI,20220722,5243.9425,5153.4966,5194.8944
000985.CSI,20220721,5254.2526,5206.8795,5206.8795
000985.CSI,20220720,5261.8482,5224.8941,5252.8878
000985.CSI,20220719,5228.066,5175.0011,5214.0903
000985.CSI,20220718,5212.7806,5122.494,5210.4169
000985.CSI,20220715,5234.997,5133.3152,5133.3152
000985.CSI,20220714,5247.2967,5173.262,5215.7321
000985.CSI,20220713,5213.5884,5142.0345,5194.8741
000985.CSI,20220712,5246.1225,5160.3931,5167.8063
000985.CSI,20220711,5286.862,5196.4212,5231.2867
000985.CSI,20220708,5365.1566,5304.6738,5308.5241
000985.CSI,20220707,5343.7955,5260.1767,5329.0879
000985.CSI,20220706,5356.3483,5252.3864,5293.9007
000985.CSI,20220705,5409.8482,5302.9116,5364.211
000985.CSI,20220704,5381.5624,5294.1607,5381.5624
000985.CSI,20220701,5366.6334,5318.9061,5336.141
000985.CSI,20220630,5381.3578,5282.5564,5350.8294
000985.CSI,20220629,5391.4708,5277.4378,5281.5284
000985.CSI,20220628,5391.1376,5294.0604,5386.1106
000985.CSI,20220627,5346.3824,5294.5285,5322.6636
000985.CSI,20220624,5276.0978,5214.4689,5269.8087
000985.CSI,20220623,5208.3683,5092.5412,5208.3683
000985.CSI,20220622,5184.7197,5109.6819,5111.0577
000985.CSI,20220621,5219.3925,5129.0586,5177.676
000985.CSI,20220620,5232.4814,5158.0537,5200.6789
000985.CSI,20220617,5174.3916,5069.5237,5165.7858
000985.CSI,20220616,5155.431,5090.2492,5107.8
000985.CSI,20220615,5197.9455,5088.8493,5111.9643
000985.CSI,20220614,5084.6274,4932.6903,5084.0897
000985.CSI,20220613,5080.1652,5012.4141,5058.0435
000985.CSI,20220610,5082.4737,4955.8589,5079.6942
000985.CSI,20220609,5058.5952,4971.5532,4994.0739
000985.CSI,20220608,5067.7698,4977.3494,5061.6596
000985.CSI,20220607,5051.8608,4995.8738,5031.3423
000985.CSI,20220606,5028.0867,4916.8154,5027.5473
000985.CSI,20220602,4933.7901,4874.8875,4931.2084
000985.CSI,20220601,4918.388,4868.8213,4904.7429
000985.CSI,20220531,4906.5079,4812.5454,4901.9946
000985.CSI,20220530,4835.7482,4783.9751,4834.6686
000985.CSI,20220527,4844.4053,4764.7513,4795.2924
000985.CSI,20220526,4813.6862,4710.475,4792.1577
000985.CSI,20220525,4769.1358,4709.3564,4769.1358
000985.CSI,20220524,4868.5537,4714.1331,4714.1331
000985.CSI,20220523,4870.945,4829.1901,4868.5237
000985.CSI,20220520,4857.2587,4799.2272,4857.2587
000985.CSI,20220519,4778.5435,4680.5466,4778.5435
000985.CSI,20220518,4790.8691,4733.1258,4755.4625
000985.CSI,20220517,4759.9354,4692.2859,4759.935
000985.CSI,20220516,4777.7554,4707.3886,4721.8011
000985.CSI,20220513,4748.3773,4694.1121,4739.1925
000985.CSI,20220512,4731.1357,4664.6371,4704.5158
000985.CSI,20220511,4789.6945,4654.1401,4703.8688
000985.CSI,20220510,4660.5657,4511.9134,4651.7187
000985.CSI,20220509,4613.5204,4558.0122,4587.4413
000985.CSI,20220506,4624.3511,4562.287,4580.5537
000985.CSI,20220505,4710.2137,4625.2547,4676.8468
000985.CSI,20220429,4652.1774,4507.0978,4647.0227
000985.CSI,20220428,4542.0954,4443.8717,4501.3632
000985.CSI,20220427,4504.0468,4302.0357,4503.9459
000985.CSI,20220426,4486.2821,4339.9321,4351.27
000985.CSI,20220425,4638.2154,4432.8916,4432.8927
000985.CSI,20220422,4757.8938,4661.5662,4718.911
000985.CSI,20220421,4876.5629,4714.1942,4731.3344
000985.CSI,20220420,4947.7824,4852.2869,4867.2415
000985.CSI,20220419,4983.9259,4919.2059,4947.5472
000985.CSI,20220418,4966.2562,4880.2607,4957.229
000985.CSI,20220415,4992.1865,4932.3055,4957.7195
000985.CSI,20220414,5019.946,4949.7375,4993.4482
000985.CSI,20220413,5001.7208,4933.0214,4933.0215
000985.CSI,20220412,5001.971,4877.7484,5001.971
000985.CSI,20220411,5050.7255,4897.3899,4916.1682
000985.CSI,20220408,5092.9227,5010.5655,5077.997
000985.CSI,20220407,5174.3218,5076.5206,5076.5206
000985.CSI,20220406,5173.2885,5129.4208,5167.5543
000985.CSI,20220401,5184.5284,5089.9924,5170.979
000985.CSI,20220331,5168.5384,5125.3948,5134.6166
000985.CSI,20220330,5174.746,5073.2426,5174.746
000985.CSI,20220329,5107.9609,5038.3296,5053.1124
000985.CSI,20220328,5114.2076,5010.789,5078.4427
000985.CSI,20220325,5189.1831,5103.0661,5103.0681
000985.CSI,20220324,5206.134,5140.4737,5174.9143
000985.CSI,20220323,5231.1026,5180.453,5216.8666
000985.CSI,20220322,5227.5443,5165.1391,5191.6661
000985.CSI,20220321,5224.9003,5146.6306,5200.595
000985.CSI,20220318,5192.5105,5100.3723,5179.1397
000985.CSI,20220317,5216.4266,5114.874,5135.6334
000985.CSI,20220316,5053.2882,4781.1781,5040.985
000985.CSI,20220315,5082.175,4854.0463,4854.0465
000985.CSI,20220314,5228.6602,5098.4115,5098.4115
000985.CSI,20220311,5256.9463,5089.8437,5248.107
000985.CSI,20220310,5269.5619,5212.7469,5220.4951
000985.CSI,20220309,5225.9967,4929.4783,5128.0127
000985.CSI,20220308,5345.5287,5167.4304,5184.9606
000985.CSI,20220307,5439.3028,5301.8992,5323.1469
000985.CSI,20220304,5526.9862,5447.3783,5464.8654
000985.CSI,20220303,5589.5883,5523.1478,5532.5323
000985.CSI,20220302,5568.548,5533.5382,5564.6021
000985.CSI,20220301,5590.4407,5549.5951,5588.5827
000985.CSI,20220228,5554.6762,5482.7263,5554.6762
000985.CSI,20220225,5585.5689,5522.6451,5536.7465
000985.CSI,20220224,5602.6332,5422.1039,5483.3493
000985.CSI,20220223,5602.8833,5526.4236,5601.3209
000985.CSI,20220222,5549.0482,5489.0608,5518.6348
000985.CSI,20220221,5583.6348,5547.2417,5582.1346
000985.CSI,20220218,5564.3812,5494.2157,5564.3812
000985.CSI,20220217,5560.5697,5503.8275,5532.4855
000985.CSI,20220216,5536.6527,5504.5162,5522.1106
000985.CSI,20220215,5492.1733,5430.2769,5490.8886
000985.CSI,20220214,5484.9599,5407.8613,5432.6382
000985.CSI,20220211,5547.8098,5464.7678,5471.5688
000985.CSI,20220210,5563.5507,5507.6646,5544.2881
000985.CSI,20220209,5565.8844,5478.0242,5560.6858
000985.CSI,20220208,5490.4795,5384.3705,5490.4795
000985.CSI,20220207,5510.308,5467.4316,5484.4397
000985.CSI,20220128,5487.5365,5369.5423,5405.9071
000985.CSI,20220127,5566.4899,5431.0308,5433.2418
000985.CSI,20220126,5586.7478,5496.6888,5568.443
000985.CSI,20220125,5702.4088,5531.8751,5531.8751
000985.CSI,20220124,5722.1764,5658.3611,5704.3887
000985.CSI,20220121,5747.8295,5683.3556,5695.0172
000985.CSI,20220120,5811.0423,5743.3363,5756.5159
000985.CSI,20220119,5830.4045,5752.1262,5784.1156
000985.CSI,20220118,5846.6422,5790.1218,5823.329
000985.CSI,20220117,5819.2241,5751.1105,5814.1059
000985.CSI,20220114,5783.9605,5729.4518,5746.2261
000985.CSI,20220113,5863.9978,5768.851,5768.851
000985.CSI,20220112,5859.0042,5805.585,5857.3065
000985.CSI,20220111,5852.9034,5778.3583,5787.4922
000985.CSI,20220110,5841.2668,5764.1583,5839.6362
000985.CSI,20220107,5878.7756,5808.1836,5811.6127
000985.CSI,20220106,5868.5682,5801.1531,5855.5322
000985.CSI,20220105,5949.7908,5843.8775,5868.5773
000985.CSI,20220104,5995.1549,5920.4088,5958.7424
000985.CSI,20211231,5974.0699,5947.3876,5969.8001
000985.CSI,20211230,5953.2207,5885.8192,5935.2719
000985.CSI,20211229,5937.7888,5884.3979,5885.3073
000985.CSI,20211228,5940.1234,5892.3147,5939.4153
000985.CSI,20211227,5928.4027,5871.4524,5897.1579
000985.CSI,20211224,5965.676,5889.1529,5896.6385
000985.CSI,20211223,5962.6933,5928.7644,5959.1574
000985.CSI,20211222,5947.7274,5922.7698,5937.9297
000985.CSI,20211221,5920.8187,5857.0806,5918.8192
000985.CSI,20211220,5966.9926,5854.7204,5860.2669
000985.CSI,20211217,6021.1037,5951.1303,5951.286
000985.CSI,20211216,6031.2513,5982.7043,6031.2513
000985.CSI,20211215,6038.2951,5986.0331,5992.0469
000985.CSI,20211214,6037.4327,6010.9114,6021.9375
000985.CSI,20211213,6073.8784,6030.4939,6043.2789
000985.CSI,20211210,6015.2446,5976.0518,6008.621
000985.CSI,20211209,6036.2015,5960.5773,6015.09
000985.CSI,20211208,5960.4544,5874.3544,5960.454
000985.CSI,20211207,5929.1861,5830.4428,5869.6931
000985.CSI,20211206,5952.4984,5883.4461,5887.7699
000985.CSI,20211203,5936.8249,5887.4954,5935.4012
000985.CSI,20211202,5916.0373,5881.9203,5887.001
000985.CSI,20211201,5906.5492,5876.7213,5906.5492
000985.CSI,20211130,5917.6835,5859.1269,5891.4479
000985.CSI,20211129,5888.2835,5812.1103,5887.0026
000985.CSI,20211126,5895.5176,5860.9789,5876.0171
000985.CSI,20211125,5916.314,5892.5834,5897.3336
000985.CSI,20211124,5931.3928,5892.6298,5911.978
000985.CSI,20211123,5931.6275,5899.9794,5913.5347
000985.CSI,20211122,5916.0765,5862.2128,5914.5817
000985.CSI,20211119,5855.3312,5778.9957,5853.5697
000985.CSI,20211118,5820.8964,5777.5144,5787.9008
000985.CSI,20211117,5825.7966,5778.8513,5825.6561
000985.CSI,20211116,5829.7769,5775.0685,5781.8573
000985.CSI,20211115,5838.1438,5784.666,5806.094
000985.CSI,20211112,5826.638,5799.5092,5821.3364
000985.CSI,20211111,5808.876,5721.879,5806.4874
000985.CSI,20211110,5740.0103,5655.2689,5736.3645
000985.CSI,20211109,5759.4677,5717.2607,5755.4128
000985.CSI,20211108,5733.9208,5688.0819,5724.7185
000985.CSI,20211105,5762.2493,5702.4807,5702.4807
000985.CSI,20211104,5749.8335,5703.109,5749.6737
000985.CSI,20211103,5713.2262,5654.8983,5688.0806
000985.CSI,20211102,5779.9396,5646.3537,5694.3365
000985.CSI,20211101,5778.2525,5704.6414,5752.862
000985.CSI,20211029,5741.0025,5651.3428,5740.294
000985.CSI,20211028,5733.3843,5650.7724,5668.0683
000985.CSI,20211027,5787.9062,5722.1486,5739.8094
000985.CSI,20211026,5847.8191,5790.6179,5801.9828
000985.CSI,20211025,5821.1993,5756.3971,5820.1621
000985.CSI,20211022,5817.9102,5772.7661,5775.4387
000985.CSI,20211021,5809.8063,5752.1674,5782.9815
000985.CSI,20211020,5805.2856,5763.2777,5779.1086
000985.CSI,20211019,5788.7538,5732.1557,5785.588
